OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
10347,R,R,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,5095.675739040333610,740929.178208304918371
10348,Md,Md,dsmMprL-Xl,dsmMprL,,,,,,,Xl,,,,d,s,m,M,,,L,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,l,,,,,,,,,,,8,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,14514.118779233214809,6278239.861844409257174
10349,fpO,fpO,ueOb-UXl,ueOb,,,,,,,UXl,,,,u,e,,O,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,X,,l,,,,,,,9,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,9394.637181479038190,1444153.450100825866684
10350,pO-k,pO-K,euOb-Xtl,euOb,,,,,,,Xtl,,,,e,u,,O,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,l,,,,,,,,,,-1,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,2838.031426569216819,574873.614368814509362
10351,Cx,Cx,dszCvb.gFAf-Xs,dszCvb,.,gFAf,,,,,Xs,,,,d,s,z,C,,,,v,b,,,,g,,,F,A,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,s,,,,,,,,,,,1,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,10222.834143654954460,2037795.345571238780394
10352,Mp,Mp,dsmMpL-Xl,dsmMpL,,,,,,,Xl,,,,d,s,m,M,,,L,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,l,,,,,,,,,,,2,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,14280.347796005300552,8947875.496573334559798
10353,Cz,Cz,C-L,C,,,,,,,L,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,3,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,1718.226620131051050,180954.730346924217883
10354,Mp,Mp,dsmMpL-Xl,dsmMpL,,,,,,,Xl,,,,d,s,m,M,,,L,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,l,,,,,,,,,,,4,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,3697.674250788994414,509445.693808085226920
10355,pO-k,pO-K,euOb-Xtl,euOb,,,,,,,Xtl,,,,e,u,,O,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,t,l,,,,,,,,,,5,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,11289.350082626280710,3453780.256162442732602
10356,Gt,Gt,sgzFGtL-X,sgzFGtL,,,,,,,X,,,,s,g,z,F,G,,L,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,6,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,2873.347402893924027,474788.689345554914325
